Date,Open,High,Low,Close,Volume,DayNumber,Month_Number
2017-01-03,54.20000076293945,55.2400016784668,52.11000061035156,52.33000183105469,727793,1,100
2017-01-04,52.4900016784668,53.43000030517578,52.1500015258789,53.2599983215332,512641,2,100
2017-01-05,53.38999938964844,54.11999893188477,52.790000915527344,53.7599983215332,517362,3,100
2017-01-06,53.72999954223633,54.31999969482422,53.31999969482422,53.9900016784668,528333,4,100
2017-01-09,53.75,53.83000183105469,51.7599983215332,51.959999084472656,564893,0,100
2017-01-10,51.83000183105469,52.36999893188477,50.709999084472656,50.81999969482422,632573,1,100
2017-01-11,50.81000137329102,52.77999877929688,50.75,52.25,815846,2,100
2017-01-12,52.36999893188477,53.5,52.11999893188477,53.0099983215332,660703,3,100
2017-01-13,53.04999923706055,53.16999816894531,52.27000045776367,52.36999893188477,477986,4,100
2017-01-17,52.54999923706055,53.52000045776367,52.11999893188477,52.47999954223633,606023,1,100
2017-01-18,52.52000045776367,52.790000915527344,50.90999984741211,51.08000183105469,236238,2,100
2017-01-19,51.38999938964844,51.86999893188477,51.02000045776367,51.36999893188477,122593,3,100
2017-01-20,51.45000076293945,52.9000015258789,51.38999938964844,52.41999816894531,567231,4,100
2017-01-23,53.33000183105469,53.47000122070313,52.209999084472656,52.75,455333,0,100
2017-01-24,52.86000061035156,53.56000137329102,52.66999816894531,53.18000030517578,520285,1,100
2017-01-25,52.95000076293945,53.47000122070313,52.56000137329102,52.75,589709,2,100
2017-01-26,52.959999084472656,54.06000137329102,52.790000915527344,53.77999877929688,578065,3,100
2017-01-27,53.7400016784668,54.08000183105469,52.58000183105469,53.16999816894531,495556,4,100
2017-01-30,53.1500015258789,53.459999084472656,52.40999984741211,52.63000106811523,486309,0,100
2017-01-31,52.599998474121094,53.56000137329102,52.2400016784668,52.81000137329102,586676,1,100
2017-02-01,52.7599983215332,53.90999984741211,52.63999938964844,53.88000106811523,577243,2,200
2017-02-02,53.56999969482422,54.34000015258789,53.349998474121094,53.540000915527344,492553,3,200
2017-02-03,53.68000030517578,54.22000122070313,53.4000015258789,53.83000183105469,462616,4,200
2017-02-06,53.81000137329102,54.13000106811523,52.90999984741211,53.0099983215332,425085,0,200
2017-02-07,53.13999938964844,53.2400016784668,51.63000106811523,52.16999816894531,624057,1,200
2017-02-08,51.63999938964844,52.66999816894531,51.22000122070313,52.34000015258789,767379,2,200
2017-02-09,52.36999893188477,53.209999084472656,52.36999893188477,53.0,610196,3,200
2017-02-10,53.1500015258789,54.13000106811523,52.9000015258789,53.86000061035156,596449,4,200
2017-02-13,53.79999923706055,53.95000076293945,52.77000045776367,52.93000030517578,586034,0,200
2017-02-14,52.90999984741211,53.72000122070313,52.86000061035156,53.20000076293945,493022,1,200
2017-02-15,53.0,53.5099983215332,52.72999954223633,53.11000061035156,463638,2,200
2017-02-16,53.0099983215332,53.59000015258789,52.68000030517578,53.36000061035156,343363,3,200
2017-02-17,53.47000122070313,53.52000045776367,52.88000106811523,53.4000015258789,195352,4,200
2017-02-21,53.47999954223633,54.68000030517578,53.349998474121094,54.06000137329102,665310,1,200
2017-02-22,54.2599983215332,54.599998474121094,53.349998474121094,53.59000015258789,499480,2,200
2017-02-23,53.90999984741211,54.93999862670898,53.86999893188477,54.45000076293945,529880,3,200
2017-02-24,54.33000183105469,54.5099983215332,53.7599983215332,53.9900016784668,395258,4,200
2017-02-27,54.02000045776367,54.61000061035156,53.93999862670898,54.04999923706055,394380,0,200
2017-02-28,54.040000915527344,54.22999954223633,53.18000030517578,54.0099983215332,593909,1,200
2017-03-01,53.95000076293945,54.43999862670898,53.63000106811523,53.83000183105469,491289,2,300
