,0
532,46.59
533,46.54
534,46.27
535,46.69
536,46.99
537,46.9
538,47.04
539,47.25
540,47.29
541,47.39
542,47.12
543,47.24
544,47.22
545,47.44
546,48.82
547,49.16
548,48.17
549,48.16
550,48.71
551,48.81
552,48.9
553,48.68
554,49.51
555,49.21
556,49.52
557,51.33
558,51.2
559,50.74
560,50.31
561,50.98
562,51.65
563,51.36
564,51.59
565,51.67
566,51.84
567,51.8
568,51.9
569,51.87
570,51.89
571,51.84
572,51.67
573,50.81
574,50.18
575,50.0
576,49.86
577,49.93
578,50.24
579,49.64
580,49.48
581,48.89
582,48.49
583,48.65
584,48.84
585,49.04
586,49.11
587,48.79
588,48.07
589,48.47
590,48.76
591,48.63
592,48.63
593,48.51
594,48.66
595,48.74
596,48.7
597,48.53
598,48.49
599,48.84
600,49.06
601,48.35
602,48.33
603,49.0
604,49.59
605,49.65
606,49.16
607,49.09
608,48.79
609,48.74
610,49.24
611,49.53
612,49.43
613,49.37
614,49.36
615,49.43
616,49.78
617,49.44
618,49.5
619,49.32
620,49.34
621,49.0
622,48.9
623,48.7
624,48.71
625,48.83
626,48.76
627,48.64
628,49.58
629,49.41
630,49.02
631,49.0
632,48.88
633,49.49
634,49.14
635,49.07
636,49.06
637,49.31
638,49.24
639,49.06
640,49.08
641,49.11
642,49.29
643,49.1
644,49.08
645,49.09
646,49.03
647,48.98
648,48.83
649,48.69
650,48.84
651,48.63
652,48.63
653,48.71
654,48.86
655,48.92
656,48.64
657,48.75
658,48.65
659,48.62
660,48.65
661,49.06
662,49.06
663,48.75
664,48.69
665,48.82
666,48.75
667,50.46
668,49.97
669,50.33
670,50.88
671,50.9
672,50.65
673,50.67
674,50.52
675,49.9
676,50.37
677,50.22
678,50.22
679,50.38
680,50.14
681,50.09
682,49.92
683,49.99
684,49.68
685,49.94
686,49.72
687,49.72
688,49.61
689,49.76
690,49.77
691,49.73
692,49.23
693,49.28
694,48.99
695,49.09
696,49.37
697,48.63
698,47.81
699,48.59
700,48.75
701,48.32
702,48.12
703,47.96
704,47.69
705,47.56
706,47.58
707,47.4
708,47.69
709,47.57
710,47.64
711,47.79
712,47.58
713,46.71
714,46.75
715,47.61
716,47.37
717,47.22
718,47.05
719,47.09
720,47.43
721,47.52
722,47.45
723,47.51
724,47.0
725,47.65
726,47.51
727,47.32
728,46.91
729,46.54
730,46.77
731,46.05
732,46.09
733,45.35
734,45.15
735,45.12
736,45.33
737,44.88
738,45.0
739,44.85
740,45.61
741,45.29
742,45.77
743,45.22
744,44.26
745,45.07
746,44.87
747,44.84
748,45.91
749,34.23
750,38.0
751,40.09
752,39.84
753,40.46
754,41.06
755,41.29
756,41.16
757,40.84
758,40.51
759,40.63
760,40.61
761,39.39
762,39.24
763,39.97
764,39.82
765,39.6
766,38.51
767,38.49
768,38.47
769,38.0
770,37.87
771,38.0
772,37.36
773,37.4
774,37.36
775,36.69
776,35.85
777,36.14
778,36.54
779,36.8
780,37.23
781,37.22
782,37.24
783,37.98
784,38.74
785,38.51
786,38.26
787,38.19
788,38.31
789,38.02
790,38.3
791,38.14
792,37.87
793,37.83
794,38.07
795,37.67
796,37.1
797,37.26
798,36.7
799,36.82
800,36.8
801,36.55
802,36.7
803,36.62
804,36.47
805,36.59
806,36.64
807,36.31
808,36.45
809,36.68
810,36.75
811,36.58
812,37.54
813,37.97
814,37.25
815,37.6
816,37.69
817,38.23
818,38.19
819,37.85
820,37.63
821,37.62
822,37.7
823,37.26
824,36.75
825,36.9
826,37.66
827,37.68
828,38.24
829,38.01
830,38.01
831,38.07
832,38.2
833,38.24
834,37.58
835,37.35
836,37.15
837,37.35
838,37.7
839,37.71
840,37.85
841,37.76
842,37.82
843,37.84
844,36.6
845,36.31
846,36.44
847,36.44
848,36.54
849,36.39
850,36.92
851,36.49
852,36.23
853,36.13
854,36.29
855,35.7
856,35.82
857,35.85
858,35.99
859,35.87
860,35.83
861,35.76
862,35.63
863,35.81
864,36.64
865,36.38
866,36.61
867,36.67
868,36.79
869,37.18
870,37.09
871,39.57
872,38.93
873,38.94
874,39.1
875,39.15
876,39.16
877,38.79
878,38.84
879,39.11
880,39.03
881,39.21
882,39.01
883,39.49
884,39.5
885,39.28
886,39.54
887,39.15
888,39.19
889,39.13
890,39.2
891,39.31
892,39.69
893,39.81
894,40.32
895,40.65
896,40.24
897,40.21
898,40.08
899,40.02
900,39.99
901,39.69
902,39.72
903,39.94
904,39.71
905,39.82
906,39.46
907,39.96
908,40.22
909,40.1
910,39.65
911,39.7
912,39.51
913,39.6
914,39.39
915,39.4
916,39.27
917,39.41
918,39.56
919,40.1
920,39.87
921,39.37
922,39.42
923,39.73
924,39.54
925,39.27
926,39.2
927,39.2
928,39.05
929,39.24
930,39.35
931,39.45
932,39.24
933,39.33
934,39.85
935,40.11
936,40.12
937,40.06
938,39.65
939,39.85
940,39.81
941,39.81
942,39.53
943,39.54
944,39.42
945,39.43
946,40.14
947,40.71
948,40.1
949,40.51
950,40.76
951,40.24
952,40.17
953,40.08
954,39.94
955,40.14
956,40.39
957,40.44
958,40.31
959,37.34
960,38.08
961,38.79
962,39.14
963,39.32
964,39.79
965,39.47
966,39.5
967,39.3
968,39.27
969,39.03
970,38.99
971,38.86
972,39.01
973,38.79
974,39.51
975,39.83
976,39.92
977,39.98
978,39.95
979,39.91
980,40.1
981,39.97
982,39.97
983,39.73
984,39.79
985,39.79
986,39.88
987,39.72
988,40.0
989,40.12
990,40.06
991,40.64
992,40.47
993,40.45
994,40.42
995,40.09
996,40.09
997,40.2
998,40.23
999,40.62
1000,40.43
1001,40.13
1002,40.39
1003,40.18
1004,40.11
1005,39.99
1006,39.98
1007,39.83
1008,39.54
1009,39.54
1010,39.52
1011,39.38
1012,39.41
1013,39.19
1014,39.32
1015,39.24
1016,39.1
1017,39.03
1018,39.01
1019,39.01
1020,39.12
1021,39.08
1022,38.97
1023,38.95
1024,38.11
1025,38.11
1026,38.3
1027,38.35
1028,38.27
1029,37.25
1030,37.22
1031,37.49
1032,37.42
1033,37.47
1034,37.18
1035,37.02
1036,37.0
1037,36.99
1038,37.59
1039,37.52
1040,37.87
1041,38.04
1042,37.73
1043,38.2
1044,38.62
1045,38.19
1046,37.86
1047,37.73
1048,37.35
1049,37.25
1050,37.29
1051,37.29
1052,37.5
1053,37.57
1054,37.54
1055,37.54
1056,37.55
1057,37.71
1058,37.36
1059,37.79
1060,37.56
1061,38.16
1062,37.9
1063,37.97
1064,37.29
1065,38.12
1066,39.24
1067,38.88
1068,38.91
1069,38.72
1070,38.68
1071,38.08
1072,37.97
1073,37.69
1074,38.41
1075,37.48
1076,37.03
1077,37.38
1078,37.37
1079,37.5
1080,38.03
1081,37.86
1082,37.66
1083,37.75
1084,37.58
1085,37.26
1086,37.17
1087,37.37
1088,37.29
1089,37.78
1090,37.81
1091,37.74
1092,37.77
1093,37.77
1094,38.24
1095,38.19
1096,38.44
1097,38.23
1098,37.79
1099,38.64
1100,38.59
1101,38.54
1102,38.47
1103,38.44
1104,38.62
1105,38.91
1106,38.87
1107,38.89
1108,38.29
1109,38.19
1110,38.29
1111,38.35
1112,38.52
1113,39.14
1114,38.96
1115,38.58
1116,39.04
1117,39.18
1118,38.95
1119,38.44
1120,38.44
1121,38.39
1122,38.53
1123,38.59
1124,38.55
1125,38.7
1126,38.61
1127,38.53
1128,38.97
1129,38.82
1130,38.58
1131,38.69
1132,38.58
1133,38.68
1134,38.3
1135,38.3
1136,38.88
1137,38.94
1138,38.94
1139,38.79
1140,38.78
1141,39.37
1142,39.61
1143,39.5
1144,39.69
1145,39.41
1146,39.57
1147,39.5
1148,39.44
1149,39.54
1150,39.54
1151,39.6
1152,39.69
1153,39.64
1154,39.67
1155,39.35
1156,39.49
1157,39.31
1158,39.19
1159,39.09
1160,39.14
1161,39.14
1162,39.23
1163,39.1
1164,39.35
1165,39.29
1166,39.33
1167,39.29
1168,39.41
1169,39.26
1170,38.97
1171,39.06
1172,38.75
1173,38.79
1174,38.81
1175,38.51
1176,38.51
1177,38.73
1178,38.78
1179,38.78
1180,38.74
1181,38.58
1182,38.41
1183,38.4
1184,38.37
1185,37.93
1186,37.85
1187,37.73
1188,37.77
1189,37.89
1190,37.69
1191,37.35
1192,37.29
1193,37.39
1194,37.39
1195,37.47
1196,37.18
1197,37.49
1198,37.62
1199,37.59
1200,37.52
1201,37.29
1202,37.37
1203,37.31
1204,37.31
1205,37.31
1206,37.28
1207,37.11
1208,37.23
1209,37.23
1210,37.6
1211,37.33
1212,37.71
1213,37.66
1214,37.88
1215,38.08
1216,38.2
1217,38.24
1218,37.99
1219,38.0
1220,38.01
1221,37.85
1222,37.85
1223,37.34
1224,37.85
1225,38.17
1226,38.37
1227,38.45
1228,38.56
1229,38.41
1230,38.01
1231,37.99
1232,38.15
1233,38.07
1234,38.03
1235,38.18
1236,38.08
1237,38.01
1238,38.0
1239,38.03
1240,38.06
1241,38.08
1242,38.29
1243,38.18
1244,37.69
1245,37.69
1246,38.11
1247,38.2
1248,38.25
1249,38.26
1250,38.35
1251,38.67
1252,38.86
1253,39.07
1254,38.86
1255,38.97
1256,38.94
1257,38.73
1258,36.9
1259,37.09
1260,37.14
1261,37.19
1262,37.15
1263,37.21
1264,37.17
1265,37.42
1266,37.26
1267,37.2
1268,37.0
1269,37.01
1270,36.93
1271,36.84
1272,36.85
1273,34.24
1274,34.22
1275,34.54
1276,34.84
1277,34.45
1278,34.2
1279,34.19
1280,33.53
1281,33.26
1282,33.47
1283,33.1
1284,32.62
1285,32.83
1286,32.85
1287,32.35
1288,32.42
1289,32.56
1290,32.52
1291,32.68
1292,33.66
1293,33.54
1294,33.67
1295,33.98
1296,34.15
1297,34.29
1298,34.04
1299,33.7
1300,34.16
1301,34.3
1302,34.32
1303,34.6
1304,34.66
1305,34.39
1306,35.94
1307,36.0
1308,36.47
1309,36.85
1310,36.79
1311,36.81
1312,36.69
1313,36.39
1314,36.39
1315,36.31
1316,36.51
1317,37.02
1318,37.19
1319,36.59
1320,36.74
1321,36.51
1322,36.43
1323,36.31
1324,36.54
1325,36.51
1326,36.24
1327,36.29
1328,36.43
