Current,Forcast,Real,Dates
[82.1500015258789],[80.575485],[81.2300033569336],2022-09-28
[81.2300033569336],[80.97813],[79.48999786376953],2022-09-29
[79.48999786376953],[81.34348],[83.62999725341797],2022-09-30
[83.62999725341797],[82.117256],[86.5199966430664],2022-10-03
[86.5199966430664],[83.116135],[87.76000213623047],2022-10-04
[87.76000213623047],[84.11461],[88.44999694824219],2022-10-05
[88.44999694824219],[84.974655],[92.63999938964844],2022-10-06
[92.63999938964844],[85.731255],[91.12999725341795],2022-10-07
[91.12999725341795],[86.59703],[89.3499984741211],2022-10-10
[89.3499984741211],[87.16007],[87.2699966430664],2022-10-11
[87.2699966430664],[87.21773],[89.11000061035156],2022-10-12
[89.11000061035156],[87.040695],[85.61000061035156],2022-10-13
[85.61000061035156],[86.591034],[85.45999908447266],2022-10-14
[85.45999908447266],[86.389725],[82.81999969482422],2022-10-17
[82.81999969482422],[86.22477],[85.55000305175781],2022-10-18
[85.55000305175781],[86.238785],[85.9800033569336],2022-10-19
[85.9800033569336],[86.4329],[85.05000305175781],2022-10-20
[85.05000305175781],[86.59554],[84.58000183105469],2022-10-21
[84.58000183105469],[87.012215],[85.31999969482422],2022-10-24
[85.31999969482422],[87.4453],[87.91000366210938],2022-10-25
[87.91000366210938],[87.830894],[89.08000183105469],2022-10-26
[89.08000183105469],[88.11889],[87.9000015258789],2022-10-27
[87.9000015258789],[88.1051],[86.52999877929688],2022-10-28
[86.52999877929688],[88.11683],[88.37000274658203],2022-10-31
[88.37000274658203],[88.09865],[90.0],2022-11-01
[90.0],[88.02919],[88.16999816894531],2022-11-02
[88.16999816894531],[87.769485],[92.61000061035156],2022-11-03
[92.61000061035156],[87.458664],[91.79000091552734],2022-11-04
[91.79000091552734],[87.40136],[88.91000366210938],2022-11-07
[88.91000366210938],[87.18453],[85.83000183105469],2022-11-08
[85.83000183105469],[86.564545],[86.47000122070312],2022-11-09
[86.47000122070312],[85.70184],[88.95999908447266],2022-11-10
[88.95999908447266],[84.79299],[85.87000274658203],2022-11-11
[85.87000274658203],[84.092995],[86.91999816894531],2022-11-14
[86.91999816894531],[83.50812],[85.58999633789062],2022-11-15
[85.58999633789062],[82.932884],[81.63999938964844],2022-11-16
[81.63999938964844],[82.18673],[80.08000183105469],2022-11-17
[80.08000183105469],[81.18728],[79.7300033569336],2022-11-18
[79.7300033569336],[80.36984],[80.94999694824219],2022-11-21
[80.94999694824219],[79.71844],[77.94000244140625],2022-11-22
[77.94000244140625],[79.110916],[76.27999877929688],2022-11-23
[76.27999877929688],[78.35877],[77.23999786376953],2022-11-25
[77.23999786376953],[77.89843],[78.19999694824219],2022-11-28
[78.19999694824219],[77.632034],[80.55000305175781],2022-11-29
[80.55000305175781],[77.64303],[81.22000122070312],2022-11-30
[81.22000122070312],[77.85278],[79.9800033569336],2022-12-01
[79.9800033569336],[77.88895],[76.93000030517578],2022-12-02
[76.93000030517578],[77.7686],[74.25],2022-12-05
[74.25],[77.22725],[72.01000213623047],2022-12-06
[72.01000213623047],[76.32783],[71.45999908447266],2022-12-07
[71.45999908447266],[75.24344],[71.0199966430664],2022-12-08
[71.0199966430664],[74.12317],[73.16999816894531],2022-12-09
[73.16999816894531],[73.57188],[75.38999938964844],2022-12-12
[75.38999938964844],[73.498184],[77.27999877929688],2022-12-13
[77.27999877929688],[73.844795],[76.11000061035156],2022-12-14
[76.11000061035156],[74.24457],[74.29000091552734],2022-12-15
[74.29000091552734],[74.20641],[75.19000244140625],2022-12-16
[75.19000244140625],[74.126755],[76.08999633789062],2022-12-19
[76.08999633789062],[73.99567],[78.29000091552734],2022-12-20
[78.29000091552734],[73.96794],[77.48999786376953],2022-12-21
[77.48999786376953],[73.9252],[79.55999755859375],2022-12-22
[79.55999755859375],[73.836494],[79.52999877929688],2022-12-23
[79.52999877929688],[73.946625],[78.95999908447266],2022-12-27
[78.95999908447266],[74.13321],[78.4000015258789],2022-12-28
[78.4000015258789],[74.30421],[80.26000213623047],2022-12-29
[80.26000213623047],[74.42287],[76.93000030517578],2022-12-30
[76.93000030517578],[74.19856],[72.83999633789062],2023-01-03
[72.83999633789062],[73.65686],[73.66999816894531],2023-01-04
[73.66999816894531],[73.23036],[73.7699966430664],2023-01-05
[73.7699966430664],[73.09204],[74.62999725341797],2023-01-06
[74.62999725341797],[73.48172],[75.12000274658203],2023-01-09
[75.12000274658203],[74.15701],[77.41000366210938],2023-01-10
[77.41000366210938],[75.15387],[78.38999938964844],2023-01-11
[78.38999938964844],[76.41928],[79.86000061035156],2023-01-12
[79.86000061035156],[77.81117],[78.8499984741211],2023-01-13
[78.8499984741211],[79.18745],[80.18000030517578],2023-01-16
[80.18000030517578],[80.33058],[79.4800033569336],2023-01-17
[79.4800033569336],[81.123886],[80.33000183105469],2023-01-18
[80.33000183105469],[81.65594],[81.30999755859375],2023-01-19
[81.30999755859375],[82.01472],[81.62000274658203],2023-01-20
[81.62000274658203],[82.38552],[80.12999725341797],2023-01-23
[80.12999725341797],[82.54162],[80.1500015258789],2023-01-24
[80.1500015258789],[82.50164],[81.01000213623047],2023-01-25
[81.01000213623047],[82.3845],[79.68000030517578],2023-01-26
