Current,Forcast,Real,Dates
[85.0999984741211],[80.71743],[85.11000061035156],2022-09-15
[85.11000061035156],[80.6621],[85.7300033569336],2022-09-16
[85.7300033569336],[80.662674],[84.44999694824219],2022-09-19
[84.44999694824219],[79.564384],[82.94000244140625],2022-09-20
[82.94000244140625],[78.86305],[83.48999786376953],2022-09-21
[83.48999786376953],[78.37704],[78.73999786376953],2022-09-22
[78.73999786376953],[75.13785],[76.70999908447266],2022-09-23
[76.70999908447266],[73.32649],[78.5],2022-09-26
[78.5],[74.35046],[82.1500015258789],2022-09-27
[82.1500015258789],[76.837715],[81.2300033569336],2022-09-28
[81.2300033569336],[75.07036],[79.48999786376953],2022-09-29
[79.48999786376953],[74.853424],[83.62999725341797],2022-09-30
[83.62999725341797],[77.55349],[86.5199966430664],2022-10-03
[86.5199966430664],[79.70516],[87.76000213623047],2022-10-04
[87.76000213623047],[80.40967],[88.44999694824219],2022-10-05
[88.44999694824219],[82.56779],[92.63999938964844],2022-10-06
[92.63999938964844],[85.21256],[91.12999725341795],2022-10-07
[91.12999725341795],[84.585266],[89.3499984741211],2022-10-10
[89.3499984741211],[83.43971],[87.2699966430664],2022-10-11
[87.2699966430664],[83.23976],[89.11000061035156],2022-10-12
[89.11000061035156],[83.40816],[85.61000061035156],2022-10-13
[85.61000061035156],[81.78876],[85.45999908447266],2022-10-14
[85.45999908447266],[80.52358],[82.81999969482422],2022-10-17
[82.81999969482422],[79.42283],[85.55000305175781],2022-10-18
[85.55000305175781],[80.70705],[85.9800033569336],2022-10-19
[85.9800033569336],[80.74282],[85.05000305175781],2022-10-20
[85.05000305175781],[80.08772],[84.58000183105469],2022-10-21
[84.58000183105469],[79.66858],[85.31999969482422],2022-10-24
[85.31999969482422],[80.22334],[87.91000366210938],2022-10-25
[87.91000366210938],[82.15933],[89.08000183105469],2022-10-26
[89.08000183105469],[82.98267],[87.9000015258789],2022-10-27
[87.9000015258789],[81.93381],[86.52999877929688],2022-10-28
[86.52999877929688],[81.75677],[88.37000274658203],2022-10-31
[88.37000274658203],[82.82525],[90.0],2022-11-01
[90.0],[83.680916],[88.16999816894531],2022-11-02
[88.16999816894531],[83.298965],[92.61000061035156],2022-11-03
[92.61000061035156],[86.14788],[91.79000091552734],2022-11-04
[91.79000091552734],[85.94529],[88.91000366210938],2022-11-07
[88.91000366210938],[83.415726],[85.83000183105469],2022-11-08
[85.83000183105469],[81.918976],[86.47000122070312],2022-11-09
[86.47000122070312],[83.02936],[88.95999908447266],2022-11-10
[88.95999908447266],[83.01423],[85.87000274658203],2022-11-11
[85.87000274658203],[81.68112],[86.91999816894531],2022-11-14
