Current,Forcast,Real,Dates
[78.05999755859375],[72.87168],[79.72000122070312],2023-02-09
[79.72000122070312],[72.8882],[80.13999938964844],2023-02-10
[80.13999938964844],[74.16179],[79.05999755859375],2023-02-13
[79.05999755859375],[74.19011],[78.58999633789062],2023-02-14
[78.58999633789062],[72.27755],[78.48999786376953],2023-02-15
[78.48999786376953],[73.1581],[76.33999633789062],2023-02-16
[76.33999633789062],[73.07782],[76.16000366210938],2023-02-17
[76.16000366210938],[69.56168],[73.94999694824219],2023-02-21
[73.94999694824219],[69.649956],[75.38999938964844],2023-02-22
[73.94999694824219],[74.17709],[75.38999938964844],2023-02-23
