Current,Forcast,Real,Dates
[82.1500015258789],[82.460686],[81.2300033569336],2022-09-28
[81.2300033569336],[82.35179],[79.48999786376953],2022-09-29
[79.48999786376953],[81.9941],[83.62999725341797],2022-09-30
[83.62999725341797],[82.20146],[86.5199966430664],2022-10-03
[86.5199966430664],[82.611435],[87.76000213623047],2022-10-04
[87.76000213623047],[82.99143],[88.44999694824219],2022-10-05
[88.44999694824219],[83.310646],[92.63999938964844],2022-10-06
[92.63999938964844],[83.427925],[91.12999725341795],2022-10-07
[91.12999725341795],[84.03212],[89.3499984741211],2022-10-10
[89.3499984741211],[84.66886],[87.2699966430664],2022-10-11
[87.2699966430664],[85.084785],[89.11000061035156],2022-10-12
[89.11000061035156],[85.33357],[85.61000061035156],2022-10-13
[85.61000061035156],[85.21439],[85.45999908447266],2022-10-14
[85.45999908447266],[85.52093],[82.81999969482422],2022-10-17
[82.81999969482422],[85.80952],[85.55000305175781],2022-10-18
[85.55000305175781],[85.92914],[85.9800033569336],2022-10-19
[85.9800033569336],[85.91238],[85.05000305175781],2022-10-20
[85.05000305175781],[85.69058],[84.58000183105469],2022-10-21
[84.58000183105469],[85.94304],[85.31999969482422],2022-10-24
[85.31999969482422],[86.23022],[87.91000366210938],2022-10-25
[87.91000366210938],[86.354904],[89.08000183105469],2022-10-26
[89.08000183105469],[86.338875],[87.9000015258789],2022-10-27
[87.9000015258789],[86.15356],[86.52999877929688],2022-10-28
[86.52999877929688],[86.40804],[88.37000274658203],2022-10-31
[88.37000274658203],[86.65631],[90.0],2022-11-01
[90.0],[86.71646],[88.16999816894531],2022-11-02
[88.16999816894531],[86.57115],[92.61000061035156],2022-11-03
[92.61000061035156],[86.31033],[91.79000091552734],2022-11-04
[91.79000091552734],[86.49342],[88.91000366210938],2022-11-07
[88.91000366210938],[86.64012],[85.83000183105469],2022-11-08
[85.83000183105469],[86.530556],[86.47000122070312],2022-11-09
[86.47000122070312],[86.22155],[88.95999908447266],2022-11-10
[88.95999908447266],[85.68625],[85.87000274658203],2022-11-11
[85.87000274658203],[85.53853],[86.91999816894531],2022-11-14
[86.91999816894531],[85.460335],[85.58999633789062],2022-11-15
[85.58999633789062],[85.232254],[81.63999938964844],2022-11-16
[81.63999938964844],[84.78393],[80.08000183105469],2022-11-17
[80.08000183105469],[83.90701],[79.7300033569336],2022-11-18
[79.7300033569336],[83.44378],[80.94999694824219],2022-11-21
[80.94999694824219],[83.09821],[77.94000244140625],2022-11-22
[77.94000244140625],[82.63216],[76.27999877929688],2022-11-23
[76.27999877929688],[81.69916],[77.23999786376953],2022-11-25
[77.23999786376953],[81.20441],[78.19999694824219],2022-11-28
[78.19999694824219],[80.848816],[80.55000305175781],2022-11-29
[80.55000305175781],[80.49263],[81.22000122070312],2022-11-30
[81.22000122070312],[80.09406],[79.9800033569336],2022-12-01
[79.9800033569336],[79.418884],[76.93000030517578],2022-12-02
[76.93000030517578],[79.10093],[74.25],2022-12-05
[74.25],[78.780624],[72.01000213623047],2022-12-06
[72.01000213623047],[78.308556],[71.45999908447266],2022-12-07
[71.45999908447266],[77.72614],[71.0199966430664],2022-12-08
[71.0199966430664],[76.88607],[73.16999816894531],2022-12-09
[73.16999816894531],[76.48019],[75.38999938964844],2022-12-12
