Current,Forcast,Real,Dates
[2.5781036758586566],[-0.43162063],[-2.333464915774812],2022-09-26
[-2.333464915774812],[-0.43209428],[-4.6496834724572125],2022-09-27
[-4.6496834724572125],[-0.43207636],[1.1199003674461208],2022-09-28
[1.1199003674461208],[-0.43218133],[2.142072413216937],2022-09-29
[2.142072413216937],[-0.43259352],[-5.2082016617280535],2022-09-30
[-5.2082016617280535],[-0.43303645],[-3.4556970997991097],2022-10-03
[-3.4556970997991097],[-0.4326985],[-1.4332010416963357],2022-10-04
[-1.4332010416963357],[-0.43172815],[-0.7862292561714384],2022-10-05
[-0.7862292561714384],[-0.43088585],[-4.737142550562312],2022-10-06
[-4.737142550562312],[-0.4297414],[1.629967774372858],2022-10-07
[1.629967774372858],[-0.43022275],[1.9532523131181136],2022-10-10
[1.9532523131181136],[-0.4298208],[2.3279259838567583],2022-10-11
[2.3279259838567583],[-0.42882743],[-2.108403847900618],2022-10-12
[-2.108403847900618],[-0.42780077],[3.9277297452890134],2022-10-13
[3.9277297452890134],[-0.4275217],[0.175214957142245],2022-10-14
[0.175214957142245],[-0.42822576],[3.089163840311926],2022-10-17
[3.089163840311926],[-0.4285202],[-3.2963093057149564],2022-10-18
[-3.2963093057149564],[-0.42796975],[-0.5026303797039446],2022-10-19
[-0.5026303797039446],[-0.4264464],[1.081647207333802],2022-10-20
[1.081647207333802],[-0.42529687],[0.5526175236197304],2022-10-21
[0.5526175236197304],[-0.42532247],[-0.8749087819218175],2022-10-24
[-0.8749087819218175],[-0.4246696],[-3.0356352280229544],2022-10-25
[-3.0356352280229544],[-0.42326915],[-1.3309044707156517],2022-10-26
[-1.3309044707156517],[-0.42183542],[1.3246523135616002],2022-10-27
[1.3246523135616002],[-0.4208344],[1.5585924036402758],2022-10-28
[1.5585924036402758],[-0.42077294],[-2.12643475470081],2022-10-31
[-2.12643475470081],[-0.41920352],[-1.8445142047718408],2022-11-01
[-1.8445142047718408],[-0.41703245],[2.0333353678385464],2022-11-02
[2.0333353678385464],[-0.41495097],[-5.03572931111853],2022-11-03
[-5.03572931111853],[-0.41279015],[0.8854332031313703],2022-11-04
[0.8854332031313703],[-0.41204512],[3.1375936645521705],2022-11-07
