Current,Forcast,Real,Dates
[82.1500015258789],[78.56335],[81.2300033569336],2022-09-28
[81.2300033569336],[79.754105],[79.48999786376953],2022-09-29
[79.48999786376953],[78.254745],[83.62999725341797],2022-09-30
[83.62999725341797],[79.82011],[86.5199966430664],2022-10-03
[86.5199966430664],[82.44787],[87.76000213623047],2022-10-04
[87.76000213623047],[84.26135],[88.44999694824219],2022-10-05
[88.44999694824219],[85.72746],[92.63999938964844],2022-10-06
[92.63999938964844],[88.793976],[91.12999725341795],2022-10-07
[91.12999725341795],[88.31594],[89.3499984741211],2022-10-10
[89.3499984741211],[86.29189],[87.2699966430664],2022-10-11
[87.2699966430664],[84.62758],[89.11000061035156],2022-10-12
[89.11000061035156],[85.809784],[85.61000061035156],2022-10-13
[85.61000061035156],[84.11585],[85.45999908447266],2022-10-14
[85.45999908447266],[82.89589],[82.81999969482422],2022-10-17
[82.81999969482422],[81.11152],[85.55000305175781],2022-10-18
[85.55000305175781],[82.0432],[85.9800033569336],2022-10-19
[85.9800033569336],[83.91014],[85.05000305175781],2022-10-20
[85.05000305175781],[83.26318],[84.58000183105469],2022-10-21
[84.58000183105469],[82.40318],[85.31999969482422],2022-10-24
[85.31999969482422],[82.24818],[87.91000366210938],2022-10-25
[87.91000366210938],[84.082535],[89.08000183105469],2022-10-26
[89.08000183105469],[86.22083],[87.9000015258789],2022-10-27
[87.9000015258789],[85.769135],[86.52999877929688],2022-10-28
[86.52999877929688],[84.302315],[88.37000274658203],2022-10-31
[88.37000274658203],[84.49409],[90.0],2022-11-01
[90.0],[86.09407],[88.16999816894531],2022-11-02
[88.16999816894531],[85.96455],[92.61000061035156],2022-11-03
[92.61000061035156],[88.64268],[91.79000091552734],2022-11-04
[91.79000091552734],[88.89003],[88.91000366210938],2022-11-07
[88.91000366210938],[86.13294],[85.83000183105469],2022-11-08
[85.83000183105469],[83.67085],[86.47000122070312],2022-11-09
[86.47000122070312],[83.71867],[88.95999908447266],2022-11-10
[88.95999908447266],[85.62247],[85.87000274658203],2022-11-11
[85.87000274658203],[83.91507],[86.91999816894531],2022-11-14
[86.91999816894531],[83.38134],[85.58999633789062],2022-11-15
[85.58999633789062],[83.11112],[81.63999938964844],2022-11-16
[81.63999938964844],[80.224815],[80.08000183105469],2022-11-17
[80.08000183105469],[78.389824],[79.7300033569336],2022-11-18
[79.7300033569336],[77.40835],[80.94999694824219],2022-11-21
[80.94999694824219],[77.64502],[77.94000244140625],2022-11-22
[77.94000244140625],[76.37184],[76.27999877929688],2022-11-23
[76.27999877929688],[74.795746],[77.23999786376953],2022-11-25
[77.23999786376953],[74.47194],[78.19999694824219],2022-11-28
[78.19999694824219],[75.18965],[80.55000305175781],2022-11-29
[80.55000305175781],[77.05123],[81.22000122070312],2022-11-30
[81.22000122070312],[78.85373],[79.9800033569336],2022-12-01
[79.9800033569336],[77.84966],[76.93000030517578],2022-12-02
[76.93000030517578],[75.328125],[74.25],2022-12-05
[74.25],[72.11898],[72.01000213623047],2022-12-06
[72.01000213623047],[69.6866],[71.45999908447266],2022-12-07
[71.45999908447266],[69.18147],[71.0199966430664],2022-12-08
[71.0199966430664],[68.92702],[73.16999816894531],2022-12-09
[73.16999816894531],[70.130104],[75.38999938964844],2022-12-12
[75.38999938964844],[71.924],[77.27999877929688],2022-12-13
[77.27999877929688],[74.028],[76.11000061035156],2022-12-14
[76.11000061035156],[74.1215],[74.29000091552734],2022-12-15
[74.29000091552734],[72.33368],[75.19000244140625],2022-12-16
[75.19000244140625],[71.974754],[76.08999633789062],2022-12-19
[76.08999633789062],[72.56957],[78.29000091552734],2022-12-20
[78.29000091552734],[74.587616],[77.48999786376953],2022-12-21
[77.48999786376953],[75.49726],[79.55999755859375],2022-12-22
[79.55999755859375],[76.686264],[79.52999877929688],2022-12-23
[79.52999877929688],[77.143524],[78.95999908447266],2022-12-27
[78.95999908447266],[76.3079],[78.4000015258789],2022-12-28
[78.4000015258789],[76.043785],[80.26000213623047],2022-12-29
[80.26000213623047],[77.54883],[76.93000030517578],2022-12-30
[76.93000030517578],[76.8964],[72.83999633789062],2023-01-03
[72.83999633789062],[73.67884],[73.66999816894531],2023-01-04
[73.66999816894531],[72.46495],[73.7699966430664],2023-01-05
[73.7699966430664],[72.74729],[74.62999725341797],2023-01-06
[74.62999725341797],[72.68199],[75.12000274658203],2023-01-09
[75.12000274658203],[73.48041],[77.41000366210938],2023-01-10
[77.41000366210938],[75.36347],[78.38999938964844],2023-01-11
[78.38999938964844],[77.38494],[79.86000061035156],2023-01-12
[79.86000061035156],[78.776245],[78.8499984741211],2023-01-13
[78.8499984741211],[78.21944],[80.18000030517578],2023-01-16
[80.18000030517578],[78.342384],[79.4800033569336],2023-01-17
[79.4800033569336],[78.0099],[80.33000183105469],2023-01-18
[80.33000183105469],[78.66884],[81.30999755859375],2023-01-19
