Current,Forcast,Real,Dates
[109.7699966430664],[106.48758],[103.08999633789062],2022-05-06
[103.08999633789062],[103.14352],[99.76000213623048],2022-05-09
[99.76000213623048],[101.184944],[105.70999908447266],2022-05-10
[105.70999908447266],[104.04861],[106.12999725341795],2022-05-11
[106.12999725341795],[106.41175],[110.48999786376952],2022-05-12
[110.48999786376952],[108.84569],[114.1999969482422],2022-05-13
[114.1999969482422],[110.52652],[112.4000015258789],2022-05-16
[112.4000015258789],[111.14869],[109.58999633789062],2022-05-17
[109.58999633789062],[110.56471],[112.20999908447266],2022-05-18
[112.20999908447266],[110.31194],[113.2300033569336],2022-05-19
[113.2300033569336],[110.63172],[110.29000091552734],2022-05-20
[110.29000091552734],[109.39467],[109.7699966430664],2022-05-23
[109.7699966430664],[109.48201],[110.33000183105469],2022-05-24
[110.33000183105469],[110.68081],[114.08999633789062],2022-05-25
[114.08999633789062],[111.69183],[115.06999969482422],2022-05-26
[115.06999969482422],[112.80434],[114.66999816894531],2022-05-27
[114.66999816894531],[113.00735],[115.26000213623048],2022-05-31
[115.26000213623048],[114.03526],[116.87000274658205],2022-06-01
[116.87000274658205],[115.596054],[118.87000274658205],2022-06-02
[118.87000274658205],[116.43169],[118.5],2022-06-03
[118.5],[115.99747],[119.41000366210938],2022-06-06
[119.41000366210938],[117.182076],[122.11000061035156],2022-06-07
[122.11000061035156],[119.12355],[121.51000213623048],2022-06-08
[121.51000213623048],[119.598335],[120.66999816894531],2022-06-09
[120.66999816894531],[119.65791],[120.93000030517578],2022-06-10
[120.93000030517578],[118.11845],[118.93000030517578],2022-06-13
[118.93000030517578],[116.86086],[115.30999755859376],2022-06-14
[115.30999755859376],[115.36329],[117.58999633789062],2022-06-15
[117.58999633789062],[114.3805],[109.55999755859376],2022-06-16
[109.55999755859376],[112.14633],[110.2699966430664],2022-06-17
[110.2699966430664],[108.99521],[110.6500015258789],2022-06-20
[110.6500015258789],[108.141685],[106.19000244140624],2022-06-21
[106.19000244140624],[106.173874],[104.2699966430664],2022-06-22
[104.2699966430664],[103.86511],[107.62000274658205],2022-06-23
[107.62000274658205],[106.852684],[109.56999969482422],2022-06-24
[109.56999969482422],[108.13256],[111.76000213623048],2022-06-27
[111.76000213623048],[109.22299],[109.77999877929688],2022-06-28
[109.77999877929688],[109.24349],[105.76000213623048],2022-06-29
[105.76000213623048],[105.69364],[108.43000030517578],2022-06-30
[108.43000030517578],[102.56576],[99.5],2022-07-01
[99.5],[100.95567],[98.52999877929688],2022-07-05
[98.52999877929688],[99.45815],[102.7300033569336],2022-07-06
[102.7300033569336],[102.54768],[104.79000091552734],2022-07-07
[104.79000091552734],[103.47824],[104.08999633789062],2022-07-08
[104.08999633789062],[100.60867],[95.83999633789062],2022-07-11
[95.83999633789062],[96.225525],[96.3000030517578],2022-07-12
[96.3000030517578],[95.718575],[95.77999877929688],2022-07-13
[95.77999877929688],[96.512886],[97.58999633789062],2022-07-14
[97.58999633789062],[97.91207],[102.5999984741211],2022-07-15
[102.5999984741211],[100.25623],[104.22000122070312],2022-07-18
[104.22000122070312],[102.23186],[102.26000213623048],2022-07-19
[102.26000213623048],[101.31419],[96.3499984741211],2022-07-20
[96.3499984741211],[96.81778],[94.6999969482422],2022-07-21
[94.6999969482422],[94.3881],[96.6999969482422],2022-07-22
[96.6999969482422],[94.756615],[94.9800033569336],2022-07-25
[94.9800033569336],[95.020004],[97.26000213623048],2022-07-26
[97.26000213623048],[96.723465],[96.41999816894531],2022-07-27
[96.41999816894531],[97.91965],[98.62000274658205],2022-07-28
[98.62000274658205],[97.74832],[93.88999938964844],2022-07-29
[93.88999938964844],[94.241615],[94.41999816894531],2022-08-01
[94.41999816894531],[91.601875],[90.66000366210938],2022-08-02
[90.66000366210938],[91.077995],[88.54000091552734],2022-08-03
[88.54000091552734],[89.04146],[89.01000213623047],2022-08-04
[89.01000213623047],[89.42908],[90.76000213623048],2022-08-05
[90.76000213623048],[90.75571],[90.5],2022-08-08
[90.5],[91.27399],[91.93000030517578],2022-08-09
[91.93000030517578],[92.09752],[94.33999633789062],2022-08-10
[94.33999633789062],[93.05218],[92.08999633789062],2022-08-11
[92.08999633789062],[91.89527],[89.41000366210938],2022-08-12
[89.41000366210938],[88.82905],[86.52999877929688],2022-08-15
[86.52999877929688],[87.58442],[88.11000061035156],2022-08-16
[88.11000061035156],[88.4649],[90.5],2022-08-17
[90.5],[89.64666],[90.7699966430664],2022-08-18
[90.7699966430664],[90.57301],[90.2300033569336],2022-08-19
[90.2300033569336],[91.3928],[93.73999786376952],2022-08-22
[93.73999786376952],[92.89945],[94.88999938964844],2022-08-23
[94.88999938964844],[94.161026],[92.5199966430664],2022-08-24
[92.5199966430664],[93.367325],[93.05999755859376],2022-08-25
[93.05999755859376],[93.03292],[97.01000213623048],2022-08-26
